Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,Average
1999,36.4,42.1,46,44.5,55.6,64.8,73.5,69.3,58.5,51.9,48,36.9,52.3
2000,36.4,41,42.9,51.2,61,67.4,74.7,73,63.1,49.6,31.4,31.2,51.9
2001,33,32.3,40.8,50.7,58.4,68.9,75,71.8,65,53.8,43.9,35,52.4
2002,33.1,36,37.5,52.9,56.2,70.5,76.8,71.3,64,45.9,40.3,36.6,51.8
2003,40.2,31.6,43.7,50.6,57.4,62.8,75.9,72.9,60.5,57.4,39,36.4,53.4
2004,35.4,33.6,48.2,49.2,59.9,62.7,69.2,66.4,62.9,51.9,39.7,36.5,51.3
2005,35.5,37.9,42,48.4,57.6,65.4,75.1,69.7,66.2,52.6,45,33.3,52.4
2006,40.7,33.7,39.4,53.9,61,71.6,74.4,71.6,58.4,51,43.4,35.3,52.9
2007,27.2,34.6,47.6,47.9,58,67.7,74.8,73.7,64.5,55.2,44.9,30.2,52.2
2008,31.6,36.1,40.8,47.8,57.1,66.1,75,69.6,60.9,46,46,31.1,50.7
2009,38.2,39.7,44.3,47.3,59.3,63,69.6,69.6,63.1,44.5,43.8,26.7,50.8
2010,33,30.1,42.7,48.8,53.9,66.9,72.5,72.4,66.6,55,39.8,37.2,50.8
2011,33.1,32,45.2,48.9,53.7,67.6,73.5,75.1,63.4,52.9,42.3,32.2,51.7
2012,38.9,32.3,50.8,54.3,60.2,74.2,74.8,73.2,66,50.8,46.1,33.7,54.6
2013,33,32.1,40.5,43.8,57.7,69.9,72.2,72.2,65.1,47.8,43.2,31.5,50.8
2014,34.6,32,43.6,49.8,56.6,66.2,72.2,69.2,63.8,55.3,38.3,33.9,51.3
2015,36.5,36.6,46.1,50.1,52.4,68.3,70.3,70.5,69.4,56.2,40.8,33.1,52.5
2016,34.1,40.9,43,49,54.1,70.5,74,70.4,64.9,58.8,47.5,32,53.3
2017,32.2,42.3,50.3,48.9,55.7,68.7,73.9,69,63.5,51.5,47.5,36.4,53.3
2018,37.7,32.5,43.4,49.1,59.7,69.9,72.5,70.9,66.7,50.4,39.4,33.8,52.1
2019,34.9,31,37.2,50.2,51.2,64.6,73.1,73.8,67.6,45.7,39.1,35.7,50.3
2020,36.2,32.4,43,47.6,59,69.3,73.8,74.2,64.7,50.9,44.8,35.9,52.7
